,type,sen
62,【伤感语句】,  喜欢用凉水洗头所以总是头疼，喜欢吃零食烧烤冰淇淋所以总胃疼，喜欢熬夜熬到很晚所以近视总是很严重，喜欢你到无可救药所以你才不珍惜，是不是所有的喜欢都要付出代价。
63,【伤感语句】,  有时候，没有下一次，没有机会重来，没有暂停继续。有时候，错过了现在，就永远永远的没机会了。
64,【伤感语句】,  我主动来找你，是因为我太喜欢你，我已经不主动找你，因为你每一句回复都敷衍得那么不走心，不是不喜欢你了，只是不敢再那样喜欢了。
65,【伤感语句】,  真正放弃一个人是无声无息，不会把他拉入黑名单，不会删掉他得电话，看到他过得好可以毫不羡慕地点赞，即便路上碰见他可以给一个恰当的笑，只是我心里清楚，我们不会再熟络地聊天到深夜，不会因为你矫情到阴晴不定，当初那么喜欢，那么释然。这段路，只能陪你到这了，因为后面的路有人陪了。
66,【伤感语句】,  当关心和陪伴变成打扰，孤独就是救赎。
67,【伤感语句】,  别喝酒，别一个人夜里吹冷风，也别再来找我。
68,【伤感语句】,  今天她结婚，我请假，开了一天一夜的车到她家附近，车队来了，她穿婚纱的样子真好看，和我想象的不差，像公主一样，跟在车队后面一个多小时，都听到了外面敲锣打鼓的声音，手机收到一条信息“别送了，我到了，对不起”一刹那在车里哭的像个孩子……
69,【伤感语句】,  我没有等你，我只是没办法喜欢上别人。
70,【伤感语句】,  那些痛不欲生撕心裂肺的日子都只能自己咬着牙慢慢熬出来。
71,【伤感语句】,  她以前不爱啤酒不爱烟的味道，后来她把酒当水喝烟不离手，她以前抹着嫩粉的唇彩，后来她爱上了烈焰红唇，她以前穿着校服就是清纯模样，后来她开始化妆，她以前受伤总会在朋友面前委屈落泪，后来她说她一切无所谓，不过喝酒撒疯重新开始，她变了最初模样，只因一个他。
72,【伤感语句】,  爱你的这些个日头足够心酸，也不怕辛苦，只顾得带着一腔愚勇，不知是感动自己还是恶心你，一再死撑走到这里，可是失望总会攒够，心也会凉，以后不会再期待也不再去依靠，你走了就走了，我也不等了。
73,【伤感语句】,  对你的喜欢就像七八岁时的英雄梦，不可一世又不堪一击。
74,【伤感语句】,  说好永远的，不知怎么就散了。最后自己想来想去，竟然也搞不清楚当初是什么原因把彼此分开的。然后，你忽然醒悟，感情原来是这么脆弱的。经得起风雨，却经不起平凡……
75,【伤感语句】,  有时候会突然变得脆弱，突然就不快乐，突然就被回忆里的某个细节揪住，突然就会陷入深深的沉默，不想说话。
76,【伤感语句】,  后来我的英雄为另一个女孩征战杀场血溅四方。
77,【伤感语句】,  抽烟的人永远闻不到自己身上的烟味，就像被爱的人永远不知道，爱你的人有多辛苦。
78,【伤感语句】,  原谅我曾经像猫一样的缠着你，也许你永远也不会明白，我以后再也不会打搅你了。
79,【伤感语句】,  原来那个女孩子在我的心里面流下了一滴眼泪，我完全可以感受到当时她是多么地伤心……
80,【伤感语句】,  不知道少了什么，总感觉没有从前快乐。
81,【伤感语句】,  远去的故事，远离的人，谁也不是谁的主角，谁也不是谁的谁。
82,【伤感语句】,  你码了一大堆热情洋溢的字，却换来敷衍的一个表情或嗯、噢、哈，他把忙说得云淡风轻，寒意却排山倒海朝你去，你兴高采烈地捧起自己的全世界给他，但他的世界里却从来没有安排过你。
83,【伤感语句】,  努力，不是为了要感动谁，也不是要做给哪个人看，而是要让自己，随时有能力跳出自己厌恶的圈子，并拥有选择的权利，用自己喜欢的方式过一生。
84,【伤感语句】,  面对着世界的残酷，我哭过痛过也绝望过，但最终我选择笑着过。
85,【伤感语句】,  总有失望，总有失败，总要走下去。
86,【伤感语句】,  你脸上云淡风轻，谁也不知道你的牙咬得多紧。你笑得没心没肺，没人知道你哭起来只能无声落泪。你必须非常努力，才能让人觉得你毫不费力。度过一段自己都能感动的日子。之后，你想要的岁月统统会还给你——给正在奋斗的你
87,【伤感语句】,  熬那些很苦的日子一点都不难，因为我知道它会变好。
88,【伤感语句】, 不要在命运需要你逆风飞翔时选择随风而去。
89,【伤感语句】,  要知道，有些路只能一个人走，你以为那些跨不过去的坎儿，一回头，可能就已经跨过去了;你以为等不来的阳光，一回头，才发现，已经度过了漫漫长夜。
90,【伤感语句】,  世界上最幸福的事之一，莫过于经过一番努力后，所有东西正慢慢变成你想要的样子。
91,【伤感语句】, 懒，可以毁掉一个人;勤，可以成就一个人。不要等到夕阳西下的时候，才对自己说：想当初、如果、要是……之类的话。你这辈子不为别人，只为做一个连自己都羡慕的人!
92,【伤感语句】,  人真的忙起来的时候，表情就是酷的，没有太多情绪，没有儿女情长。如果觉得苦，就要让自己忙。
93,【伤感语句】,  再怎么风尘仆仆，终究也是我的路。
94,【伤感语句】,  我们都行走于黑暗之中，要学会去点亮自己的灯火。
95,【伤感语句】,  难过这个东西，难是难，但终究会过。
96,【伤感语句】,  用你的笑容去改变这个世界，别让这个世界改变了你的笑容。
97,【伤感语句】,  生活不会按照你想要的方式进行，它会给你一段时间，让你孤独，迷惘又沉默忧郁，但如果靠这段时间跟自己独处，多看一本书，去做可以做的事，放下过去的人等你度过低潮，那些独处的时光必定能照亮你，也是这些不堪陪你成熟，所以，现在没那么糟，看似生活对你的亏欠，其实都是祝愿。
98,【伤感语句】,  人生就像舞台，不到谢幕，永远不会知道自己有多精彩。
99,【伤感语句】,  不是每件事都注定会成功，但是每件事都值得一试。
100,【伤感语句】,  或许多年后再见，各自安静地生活数年，在某个人潮拥挤的街头透过公车的玻璃突然看见你，想让司机马上停车，想用力拍打窗户来吸引你的注意，想从车上跳下来，想奔跑，想大喊大叫，把整个阻隔在你我之间的世界撕裂，呼吸急促，面额潮红，在激烈的想象中把自己感动地快哭了，而事实却是一动不动安静地看着你远去;我知道我只能陪你走这一段路。
101,【伤感语句】,  后来一意孤勇，无畏死生。
102,【伤感语句】,  有时候你会特别渴望找个人谈一谈，但是到最后你会发现，有些事是不能告诉别人的，有些事是不必告诉别人的，有些事是根本没办法用言语告诉别人的，有些事情是即使告诉了别人也理解不了的，所以你要学着长大，慢慢把满腹委屈埋在心里，然后做个波澜不惊的人，或许那就是孤独。
103,【伤感语句】,  为了一个人放弃所有，到最后一无所有。
104,【伤感语句】,  我应该感谢背叛，它教会我不该善良。
105,【伤感语句】,  长大真的很没意思，连快乐都裹着一层苦。
106,【伤感语句】,  我没有再打扰他，他也没有再想起我。
107,【伤感语句】,  我总喜欢把自己推到绝路上，比如删掉有关他的一切，逼着自己忘记，然后抱头痛哭。
108,【伤感语句】,  曾经的神伤，曾经的惆怅，曾经的痴迷，曾经的疯狂，每一个跳动的音符还在眼前，每一曲悠扬的旋律还在耳畔，我庆幸，我拥有过这一切;我悲伤，我又失去了这一切。
109,【伤感语句】,  有一种感觉叫学会;有一种后悔叫心碎，时间一天一天的过去，累计一点一点的心痛，直到无法承受，心已死去，我才会发现：爱有多深，痛就有多浓。
110,【伤感语句】,  我们都在练习微笑，好把自己变成不敢哭的人，一个人，也习惯假装坚强，在人前欢笑，在人后凄凉。
111,【伤感语句】,  想要忘记一个人的办法只有两种，时间和新欢，你选择了新欢，而我选择了时间。
112,【伤感语句】,  喜欢你是真的，回不了头也是真的。
113,【伤感语句】,  我好像只是偶尔被需要，从来没有很重要。
114,【伤感语句】,  人和人终究是不同的，有人风雨中送来的晚餐，却不及某人一句随手的晚安。
115,【伤感语句】,  其实很想念曾经，关于那些人、那些事，不是说忘掉就能忘掉。想念我们曾经肆无忌惮的笑。想念我们曾经的喜怒哀乐。想念我们曾经天真的誓言。想念我们曾经一切的一切。只是，如今我已释怀。谁都不会是谁的谁。谁也不会一辈子陪在谁的身边。我只希望我们都好好的。好好的笑，好好的过，好好的一辈子。
116,【伤感语句】,  在我哭着笑时，请一定不要过来，因为在你笑着离开的时候，我的笑就真的不再存在。
117,【伤感语句】,  深爱之人藏心不挂嘴，久念之人在梦不在眼。
118,【伤感语句】,  其实我脸皮还能厚一次，但我不愿意了。
119,【伤感语句】,  一个人可以佯装一切，却无法佯装幸福。
120,【伤感语句】,  如果没有遇见，岁月的记忆也不会成为流泪的借口，安静的世界也不会成为孤独的理由，梦也不会在夜里落下思念的疼痛。如果没有遇见，深夜的文字不会忧伤，岑寂的岁月不会孤独，流年的故事不会有结局，梦里也不会悲伤逆流成河。
121,【伤感语句】,  当所有热情都耗尽时，请问你是谁?
122,【伤感语句】, 很难遇见像你一样的人，也不希望再遇见了。
123,【伤感语句】, 人生如戏，戏人生，半醉半醒过半生，醉生梦死……
124,【伤感语句】,  后来也就不说话了，只是越发喜欢把事情放在心里慢慢发酵想着总会熬过去的。
125,【伤感语句】,  没人在乎你怎样在深夜痛哭，也没人在乎你转辗反侧的要熬几个秋，外人只看结果，自己独撑过程。
126,【伤感语句】,  风也走了泪也干了酒也尽了该说放弃了。
127,【伤感语句】,  你夸我百毒不侵，但是你知不知道万箭穿心以后什么都不怕了。
128,【伤感语句】,  我一次次的释怀，却换来你一次次的欺骗。
129,【伤感语句】,  曾经的我一身傲骨出现在你的世界里，如今的我一身狼狈消失在你的世界里。
130,【伤感语句】,  那些「自以为」原来都是我的「误以为」。
131,【伤感语句】,  终于有一天，曾经令我感动的再也不能让我流泪，曾经令我心动的再也不能让我动容，曾经令我愤怒的再也不能激怒我，曾经令我悲伤的再也不能让我哭泣。我终于明白，岁月让我成长了些什么，而我又失去了什么。
132,【伤感语句】,  提着酒瓶摇摇晃晃，笑着摔倒哭着推开所有人的手，我要怎么告诉你我过得很好。
133,【伤感语句】,  你嘲笑着她，嘲笑她身为一个女子，却吸烟喝酒，不能洁身自好，可你却不知，她曾经也是琴棋书画，她曾经也厌恶烟酒脏话，她曾经也拥有未来，只不过是因为一个不值得的男人罢了。
134,【伤感语句】,  太多曾沾沾自喜誓必珍惜的情谊都败给时光的腐朽和自以为是的长久。
135,【伤感语句】,  我可以假装不知道一直微笑扮演你的配角。
136,【伤感语句】,  后来我们各奔东西，一句“有空常联系”成了我们这段感情的墓志铭。
137,【伤感语句】,  我记得关于你的所有事情，就是老记不住你不喜欢我。
138,【伤感语句】,  老人拿着手机去店里维修，工作人员告诉他手机并没有坏，老人突然哭着说：那为什么我的孩子们不给我打电话。
139,【伤感语句】,  我以为，我只是失去了你，原来，我还丢失了我自己。
140,【伤感语句】,  有时候我觉得自己好像什么都有，有时候回头看看自己其实一无所有……
141,【伤感语句】,  我嫌她是话唠，2小时不在我的消息就99+，很烦人。后来她走了，为了听到叮咚的声音我加了好多群，每次听到叮咚就觉得她还在。
142,【伤感语句】,  大风把烈酒吹醒，方知当初所拥有的美好全是梦。
143,【伤感语句】,  得不到的爱人终归是风，强留千百次也终究会走。
144,【伤感语句】,  四下无人的街，你留我一个人流浪。
145,【伤感语句】,  你掐灭了烟吐出最后一个眼圈，我隐约听见你哽咽的说还想回到从前。
146,【伤感语句】,  你只道我放手放得潇洒，却不知这潇洒背后多少心酸苦楚。
147,【伤感语句】,  我不想和别人拥抱，因为那里没有你的心跳。
148,【伤感语句】,  失去比得不到更可怕，因为多了一个过程叫曾经拥有。
149,【伤感语句】,  他只字未提我爱你，她却句句都是我愿意。
150,【伤感语句】,  笑容可以瞒过别人，可心痛却骗不了自己。
151,【伤感语句】,  我假装无所谓，寂寞却一直掉眼泪。
152,【伤感语句】,  你伤心的时候还有我，而我难过的时候还是只有我!
153,【伤感语句】,  “在。”“嗯。”“在干嘛?”“听歌。”“哦”“嗯。”看懂的，经历的，请说话。
154,【伤感语句】,  雨水落下来是因为天空无法承受它的重量，眼泪掉下来是因为心再也无法承受那样的伤痛。
155,【伤感语句】,  你是风是雾是鸟是酒馆，唯独不是归宿。
156,【伤感语句】,  给你讲一朵山茶花的故事，你淡淡的说了一句我喜欢玫瑰。
157,【伤感语句】,  后来，我也不知道是在找对象还是在找你的影子。
158,【伤感语句】,  说不出的话叫心事，留不住的人叫故事。
159,【伤感语句】,  就让我成为深山处目不识丁的哑女，一萝筐心事随着岁月守口如瓶。
160,【伤感语句】,  所有的借口都是在逃避而已，所有的难过也会随波逐流。
161,【伤感语句】,  我们总是在最美的时间遇到了不应该遇到的人而爱得好深。
162,【伤感语句】,  世界上有许多圈子，其中的一些我注定无法融入，其中一些人的心我注定无法走入。
163,【伤感语句】, 有时候我可以选择装傻，但你别以为我真傻。
164,【伤感语句】,  我已经忘了当初的样子，连怀念都没有证据。
165,【伤感语句】,  不谈感情不谈落魄杯酒下肚一醉方休。
166,【伤感语句】,  你一副不缺我的样子让我怎敢深拥你。
167,【伤感语句】,  疏远的原因大概是我需要你的时候而你恰好都不在。
168,【伤感语句】,  后来我熬夜成瘾，终于习惯了没有人关心。
169,【伤感语句】,  至少我还有力气笑着对你说我过得很好。
170,【伤感语句】,  我们都在淡化这段感情，你选择新欢，我选择时间。
171,【伤感语句】,  你是让我笑得最灿烂哭得最透彻的人。
172,【伤感语句】,  她成熟了懂事了不胡闹了可是也不爱笑了。
173,【伤感语句】,  我这般爱闹的性子终究也被打磨成如今这副寡言寡语的模样。
174,【伤感语句】,  抽烟的姿势越来越熟练，爱人也越来越随便，从当时的三杯倒到现在喝不醉，这是堕落不是成长。
175,【伤感语句】, 这世界上最难熬的，并不是等爱的过程，而是等爱消失的过程。
176,【伤感语句】,  有时候，不小心知道了一些事，才发现自己所在乎的事是那么可笑。
177,【伤感语句】,  女生随便的一句没事，殊不知背后隐藏着多少的无奈和辛酸。
178,【伤感语句】,  再对我笑一次吧，就像初见时那样。
179,【伤感语句】,  有时候并非是活在自己的世界里，谁也不爱，而是心里仍然爱着那个人，始终无法向爱靠近。
180,【伤感语句】,  你从未见过我为你哭的喘不过气的样子。
181,【伤感语句】,  我不确定自己能用多少时间把你忘了，也不敢保证我就能真的把你忘了，我只能像现在这样，不吵不闹，不悲不喜，安安静静的与你，再无交集。
182,【伤感语句】,  那些我们所相信过的诺言，终于还是成了一记耳光，啪的一声扇在了自己脸上。你始终都会是我的软肋，却永远都不会是我铠甲。
183,【伤感语句】,  后来我们都很干脆，你没有回头，我没有挽留。从此成为陌路，音信全无。
184,【伤感语句】,  越是缺乏安全感的人，越是很难开口去要求什么，明明想要一个拥抱，却不愿意说，偏偏装作要走的样子，明明爱的毫无保留，开口就变成，不如我们算了吧。
185,【伤感语句】,  爱得那么忐忑，伤得那么透彻。你永远不知道那个爱你的人，为你胡思乱想的时候有多难受。
186,【伤感语句】,  我们总是在错误的时间，错误的地点，懵懵然就爱上那个人，然后，不得不用尽一生，遗忘。
187,【伤感语句】,  只有等到物是人非之后，人才会懂得怀念;总是在我们最不懂的时候，错过最真的东西。
