,type,sen
64,【励志的话】, 知识是打开智慧大门的钥匙，学习是获得钥匙的捷径，努力是通过捷径的唯一方法。 
65,【励志的话】, 经风雨长不成大树，失败乃成功之母，一份耕耘一份收获，尽自己最大的努力去争取最大的成功，相信自己一定行！ 
66,【励志的话】, 有一种力量能给我们插上飞翔的翅膀，可以让我们翱翔于天地之间，这力量就是相信自己。
67,【励志的话】, 既异想天开，又实事求是，这是科学工作者特有的风格，让我们在无穷的宇宙长河中探求无穷的真理吧。 
68,【励志的话】, 试着用快乐的心情去学习，学习亦会易如反掌。
69,【励志的话】, 哭过，痛苦过，但从没有放弃过。笑过，坚持过，因此不曾后悔过。
70,【励志的话】, 得之坦然，失之淡然，顺其自然，争其必然。 
71,【励志的话】, 每个人不是做不好，而是不想做，现在去努力，以后将轻松的是自己。
72,【励志的话】, 不必害怕黑暗，那只是光明前的一次考验；不必害怕失败，那只是成功前的一次磨炼。 
73,【励志的话】, 人生中有些事是不得不做得，于不得不做中勉强去做，是毁灭；于不得不做中做得好，是勇敢。 
74,【励志的话】, 将一付好牌打好没有什么了不起，能将一付坏牌打好的人才值得钦佩。
75,【励志的话】, 青春如梦，又如一个美好的瞬间，让我们共同努力，开创更美好的未来。
76,【励志的话】, 一颗又一颗的星星闪亮，才能使黑夜明亮：一滴又一滴的知识积累，才能够学问渊博。 
77,【励志的话】, 要守护就守护到底，要放弃就别再回头，一旦做出选择，就要贯彻到底。 
78,【励志的话】, 我很自信，自已的未来将绚丽多彩。我对未来也充满了希望。
79,【励志的话】, 在人生的低谷，人们才会发现谁陪在身边，不离不弃，突然会发现那些不曾发现在意的感动，是这样温暖着自己的心。 
80,【励志的话】, 一个人的成就，不是以金钱衡量，而是一生中，你善待过多少人，有多少人怀念你。生意人的账簿，记录收入与支出，两数相减，便是盈利。
81,【励志的话】, 生活中，面对困境，我们常常会有走投无路的感觉。不要气馁，坚持下去，要相信年轻的人生没有绝路，困境在前方，希望在拐角。 
82,【励志的话】, 生活也是如此，人生路上，留一点遗憾在生活中，也许比完美更觉得美！佛语，天地本不全，人间便不可能完整，也算是对不完美的缺憾，一种自我安慰吧！ 
83,【励志的话】, 人生，没有永远的伤痛，再深的痛，在切之时，伤口总会痊愈。人生，没有过不去的坎，你不可以坐在坎边等它消失，你只能想办法穿过它。 
84,【励志的话】, 如果你把自己当成泥土，就不会有珍珠被埋没的痛苦；如果你用欣赏的眼睛看人，就能看到值得尊重和学习的人。
85,【励志的话】, 人生的快乐与否，有时完全在于心态，若快乐，生活也就变得快乐！所以，我们快乐与否，不在于拥有什么，而在于怎样看待自己所拥有的一切。 
86,【励志的话】, 生活中的那些悲伤，盘旋于你心中，告诉你，不能强大只能继续悲伤。 
87,【励志的话】, 有的人甘愿当一名乞丐，流浪街头；有的人不甘平庸，孜孜不倦；有的人自甘堕落，碌碌无为；有的人纸醉金迷，荒度光阴。 
88,【励志的话】, 世界上一切的成功，都将通过勤奋来实现。勤奋，代表着人们博弈人生的动力；成功，却是这种动力下产出的结果。 
89,【励志的话】, 岁月是无情的，假如你丢给它的是一片空白，它还给你的也是一片空白。岁月是有情的，假如你奉献给她的是一些色彩，它奉献给你的也是一些色彩。 
90,【励志的话】, 生当自强，人的一生，总会遇见挫折磨难，但人生没有过不去的坎，走过了，便是一种收获，便会让自己成长起来。 
91,【励志的话】, 若没有苦难，我们会骄傲；没有挫折，成功不再有喜悦；没有沧桑，我们不会有同情心。因此，不要幻想生活总是那么圆满，生活的四季不可能只有春天。 
92,【励志的话】, 学会自在，自在就是真正的醒觉，真正的自由，真正从许多虚妄中解脱出来，真正让一颗心获得喜悦。 
93,【励志的话】, 清晨曙光初现，幸福在你身边；中午艳阳高照，微笑在你心间傍；傍晚日落西山，欢乐随你一天！ 
94,【励志的话】, 我会记得那美妙的一瞬间，在我的眼前出现了你。在忧愁的苦恼中，我的耳边长久的出现你温柔的声音。 
95,【励志的话】, 有一句话点得着感情的火，有一句话说出来就幸福，这句话，你为什么不愿说破？我等着，你莫再缄默。
96,【励志的话】, 爱情是一个果酱罐，让我俩变成了小，快乐地尝着它的香甜，仿佛永远不知厌倦；爱情是一颗话梅果，让我俩变成了馋嘴的小熊，欲拒还迎那酸甜的滋味！ 
97,【励志的话】, 不要总是和他人比，就像玫瑰和百合各有各的魅力，每颗种子都会开出自己的花，每个人也都会成为独一无二的自己。
98,【励志的话】, 生命太短暂，哪有时间遗憾，一分钟都不要留给那些让你不快的人或事。若不是终点，请微笑一直向前！ 
99,【励志的话】, 心若在，梦就在，天地之间还有真爱，看成败，人生豪迈，只但是是从头再来！愿你能走出人生的低谷！ 
100,【励志的话】, 这世界没有那么多的如果也许可能。那些辞藻不过是为我们的念念不忘，找一个可以慰藉自己的借口。
101,【励志的话】, 我们不应该抱怨工作的好坏，有工作就不错了，要想发展，还得自己在工作当中留心机会。 
102,【励志的话】, 我时常想到微笑，不论面对怎样的冷风凄雨，不论面对怎样的不平与委屈，我都会想到微笑。 
103,【励志的话】, 成功的人都有一股疯狂和热诚，对事情很有企图心，好像心在燃烧的感觉。 
104,【励志的话】, 生活中总会有伤害你的人，所发但是你仍然需要继续相信别人，只是小心些而已。 
105,【励志的话】, 最痛苦的不是失败的泪水，而是不曾尽力的懊悔。珍惜今天，把握当下。 
106,【励志的话】, 成功需要成本，时间也是一种成本，对时间的珍惜就是对成本的节约。 
107,【励志的话】, 再长的路，一步步也能走完，再短的路，不迈开双脚也无法到达。 
108,【励志的话】, 不再飘散在时间和空间里，我被集于一处，而那个地方便是你。 
109,【励志的话】, 人生，没有永远的伤痛，再深的痛，伤口总会痊愈。
110,【励志的话】, 逆境磨练人、逆境是老师、逆境之苦可变甜。 
111,【励志的话】, 你若赐我一段浮华，我便许你满世繁花。
112,【励志的话】, 不必害怕黑暗，那只是光明前的一次考验；不必害怕失败，那只是成功前的一次磨炼。 
113,【励志的话】, 让我们继续往前跑，带着赤子的骄傲。自己都不往前靠，辉煌怎能看到。 
114,【励志的话】, 要守护就守护到底，要放弃就别再回头，一旦做出选择，就要贯彻到底。 
