,type,sen
49,【优美语句】,  我们都有很多面啊，阴暗的，沉默的，孤独悲恸的那些，仅仅是忽尔忽时地抵抗都已筋疲力尽，因而像风，像山月，像野墟炊烟，与夜色相伴。
50,【优美语句】,  少年有他的山海，有他的重重山影，有他的万里波涛。如果可以，风给他，沙漠给他，天空也给他。是无拘无束的风，会下大雨的沙漠，和铺满星辰的天空。万物给他，让他自由。
51,【优美语句】,  总是突然地开心，又突然间失去了所有兴致。
52,【优美语句】,  说不定随心所欲的生活更顺风顺水呢。
53,【优美语句】,  我注视着他的脸欣赏了好久，像黄昏的天色那样温柔和明朗。
54,【优美语句】,  有时遥不可及才是最好的距离，没有期待，没有妄想。
55,【优美语句】,  遇到温柔的人，还是会忍不住想靠近。
56,【优美语句】,  你喜欢的人身上，是不是也有一种特别的味道。不是某种特定香水的味道，是他自带的味道，混杂着沐浴露的清香，让你一闻到就知道那是他，会让你觉得很熟悉，很干净，像是午后的太阳，炽热温暖却也干净纯粹。
57,【优美语句】,  你看我说过永远爱你，永远的概念是什么呢，可能是一世纪，也可能是一瞬间。所以我决定不要永远爱你了，因为永远有太多的不确定性了，我要每时每刻每分每秒都爱你，直到我的爱枯竭，再也无法爱上除了你的其他人。
58,【优美语句】,  想要穿白衬衣，想要变干净，想要让你想到我就联想起盛夏白瓷和碎冰碰壁，想你想我时，嗅到凌晨四点挂着露水的蔷薇花。
59,【优美语句】,  那些彼此牵挂的人最后都会回到同一个星球。
60,【优美语句】,  最心动的就是你在宿舍楼下等我的样子，白衣青树还有一只小橘猫，我奔向你就像奔向未来。
61,【优美语句】,  反思一下，做了什么，让我这么喜欢你。
62,【优美语句】,  众人皆挣扎，无人高一等。
63,【优美语句】,  我其实很开心的，对啊，因为我的心上开了一个小洞，所有的事情都会不见了。
64,【优美语句】,  许多年前，当你踏着星光走来，走到离月亮只有几公尺的礁石上，你不爱这片呼啸的大海，你更倾心几公尺之外的圆盘;许多年后，你发现这几公尺的距离，走折了你的背影，走白了你的黑发，你坐在这片海滩之上，潮汐想温暖你的双脚，请你低头看一看这片海吧。
65,【优美语句】,  我打算把喜欢自己，当成最紧要的事情放在心上。
66,【优美语句】,  烧柴火真的很有意思，总有火光暗沉的时候，你希望它火光长燃，一个劲儿地添柴加火，就好像生活每每遇到低谷让人绝望的时候所有的鼓舞又让人对明日充满期许。
67,【优美语句】,  我们随时都可以撤。我们始终忠于自己的内心。尝试就是最好的结果。
68,【优美语句】,  比起含糊不清的话语，比起简单潦草的约定，更渴望你掌心的温暖。
69,【优美语句】,  忙碌并不等于有意义，人生不过一场虚无，可人生也赋予我们自由，去反思，去得到意义。
70,【优美语句】,  有时候我们难免过于相信自己的感觉。后来某个瞬间才恍然大悟，有些事其实是自己想错了。有点失望，但也因这失望离真实的对方更近了一点。
71,【优美语句】,  应该算得上幸运了啊。每天所发愁的只是懵懂的少女心事，没有生存的压力，每天都能见到喜欢的人，每天都有开心的事。
72,【优美语句】,  舆论真是个神奇的事情。不知怎么产生的，慢慢地开始流传，接着变成人们心里的真相。
73,【优美语句】,  爱你实在是一件满心欢喜的事情，忍不住偷偷地回应你：在千千万万的温柔的小事情里，我的心里确认过了千千万万次「嗯就是你了」。
74,【优美语句】,  河水为什么冰凉?因为想起了，曾被雪爱恋的日子。
75,【优美语句】,  得把想做的事情都提上日程才行。
76,【优美语句】,  人生值得欣慰之处便是，每一天都有结束的时候。今天亦不例外。
77,【优美语句】,  人总是在试图逃避命运的路上遇上自己的命运。
78,【优美语句】,  在你积极地走向光明时，总有些活在阴暗泥潭里的人想要拽你一把。
79,【优美语句】,  在可爱的电车沿线，除了夏天，禁止入内。
80,【优美语句】,  到目前为止我们所做的一切都不过是不想自己的人生就这样而已。
81,【优美语句】,  我想化作一阵春风，被生活热爱，被岁月歌颂，被你留在身边。
82,【优美语句】,  下了班之后回到家，看见金色的光洒到木质地板上。厨房里飘来米饭淡淡的香气，砧板上放着切好的番茄，筷子在玻璃碗里打蛋发出叮叮当当的声响。这时候从背后抱住那个做饭的人，大概是一天内最幸福的时刻吧。
83,【优美语句】,  我知道昨日是不可追的，可昨日是我唯一拥有的。
84,【优美语句】,  三只猫、一个暖炉、一杯水、一本书，时光在淅沥的雨声中慢下来。
85,【优美语句】,  春天晃一眼就被暑气熏走了。四月的风真真厮磨，处处懒倦，最最像你。揽不住也飘不走，眉眼一抛，吹得人只剩一身软骨头。
86,【优美语句】,  你要身后有力量，前方有希望，心中有爱，才能走的更远呀。
87,【优美语句】,  如果来生成为雪，就能够落到您的肩上了。
88,【优美语句】,  总是期望是你，也总不是你。
89,【优美语句】,  某天，你无端想起了一个人，他曾让你对明天有所期许，但是却完全没有出现在你的明天里。
90,【优美语句】,  千万不要轻易妥协，妥协只是看起来省力了，但是你只要退了一步，哪怕只是小小的一步，就很难再有心气儿往前迈进了。
91,【优美语句】,  再小一点的时候，喜欢把所有的开心都抖搂出去，现在甜甜的心情只想偷偷藏起来，囤起来过冬用。
92,【优美语句】,  我醒来，在初夏的早晨，转头看见你。
93,【优美语句】,  我愿意和生活的不公和解，愿意消化那些委屈和遭受的恶意。只希望自己能变得更好一点，再有力量一点，再幸福一点。
94,【优美语句】,  语文老师曾经说过：你是老师的百分之一，是父母的百分之五十，但却是你自己的百分之百，所以要非常非常努力，去追求自己想要的一切。
95,【优美语句】,  我愿意和生活的不公和解，愿意消化那些委屈和遭受的恶意。只希望自己能变得更好一点，再有力量一点，再幸福一点。
96,【优美语句】,  只因不法的事增多，许多人的爱心才渐渐冷淡了。
97,【优美语句】,  你不在的时候，不曾期待过其他人出现。
98,【优美语句】,  人生偶尔也许也需要一点任性吧，不想坚持的时候，那就不坚持了。
99,【优美语句】,  落在一个人一生中的雪，我们不能全部看见。每个人都在自己的生命中，孤独地过冬。
100,【优美语句】,  准备了千言万语，但到最后都只说给了自己听。
101,【优美语句】,  我想我们的日子都是在星辰里，在田野里，甜美的梦和酒里。
102,【优美语句】,  想到世界上有你这样的人存在，似乎天气也变得明朗起来。
103,【优美语句】,  所有艰难困苦的到来，只是为了成为过去。
104,【优美语句】,  最近体重上升了，绝对没有偷吃，只是把你偷偷放在了心里。
105,【优美语句】,  有时候真想毫无顾忌地颓废一段时间啊，待我整理好自己再重新上路。
106,【优美语句】,  人不能总尽如人意，但可以选择顺自己的意。
107,【优美语句】,  我在你所赠予的风雨里，终于长成了一个大人。
108,【优美语句】,  不管平时再怎么跋扈的人，很难过的时候都想得到一句安慰吧。
109,【优美语句】,  远处是高楼大厦万家灯火，每一扇亮着的窗里，都藏着温暖的小心意。
110,【优美语句】,  随着方便面的最后一口汤进入胃里，那些因你而起的坏情绪，好像都被窗外的雨滴冲刷干净了。
111,【优美语句】,  给我一场安静的雪吧，咯吱作响的雪地靴、温暖厚重的棉袄都不要，我只想要一场带着沧桑凉意的雪。如果还可以更贪心些，我想要从远处走来的，模糊的你。
112,【优美语句】,  这眼能所见的，耳能听闻的不是肩上梅枝，不是山中细雨，不是苦酒山河。而是你，这世间。
113,【优美语句】,  人与人的相遇时常只是交会而过的一点光，一闪而过，即使惜福惜缘如我也有许多无能为力。
114,【优美语句】,  她太害羞了，躲在我心里不肯出来。
115,【优美语句】,  人生是需要妥协的。妥协不是懦弱，是权衡相互矛盾的东西哪一个更重要，然后选择一个，再放弃一个。
116,【优美语句】,  后来发现等待这种事，是有先来后到的。你只有先等到更好的自己，才有更大的概率等到你的意中人。如果没有直达航班，那就坐换乘的列车。
117,【优美语句】,  想要守护的人，想要做的事，喜欢的生活方式，都是前进的动力，努力的意义。
118,【优美语句】,  成长教给我最多的道理就是不要浪费时间在一些徒劳的事情上，它只会在心里慢慢消耗你。未来很长，你是我的遗憾，但终有一个人会是我的未来。
119,【优美语句】,  还是长成了一个不特别的人，遇到很多人 ，告别更多的人，也开始跟自己握手言和。
120,【优美语句】,  我钦佩那些经历了大风大雨还能保留一片赤心的人。
121,【优美语句】,  生命本是宇宙中的一瓣微薄的睡莲，终有偃旗息鼓闭合的那一天。在这之前，我一定要抓紧时间，去看看这四野无序的大地，去会一会英辈们留下的伟绩和废墟。
122,【优美语句】,  温柔的男孩子就像是夏天挂在户外的晾衣架上的被清水洗过的白衬衣。
123,【优美语句】,  都说不爱也是一点一点累积起来的。是否在我越来越爱你时，你在我不知道的日子里一点一点地厌倦我。
124,【优美语句】,  我不知道幸运会不会眷顾我很长时间，但是我已经尝过甜头了，不想失去。我会珍惜现在的一切，只愿拥有的一直在。
125,【优美语句】,  我多想穿越时光的罅隙，看一眼未来的你的生活，是风生水起，还是孤苦无依。可我知道，无论哪一种，都会让我无比难过，毕竟，没有我。
126,【优美语句】,  我想过跟你一蓑烟雨任平生，可后来怎么只剩我一个人既无风雨也无晴。
127,【优美语句】,  有的故事最好的结局不是厮守终生，而是两不相欠，再也不见。
128,【优美语句】,  从此以后，所有的小情绪都笔之于书，将想要和你分享的心情摁倒，炸成灰墟，变成不言不语的平静面孔。因为心里所求所想，实则达不到微末，分毫。
129,【优美语句】,  是一个给个甜头就想要把全世界呈现给你的人，也是一个收到小小冷淡就想藏起所有假装毫不在意的人。
130,【优美语句】, 小确幸在做好的饭菜里，在减轻的体重里，在亲人的信任里，在爱人的重视里。
131,【优美语句】,  逆风的方向，更适合飞翔， 我不怕千万人阻挡 ，只怕自己投降。
132,【优美语句】,  只愿世间风景千般万般熙攘过后，字里行间，人我两忘，相对无言。
133,【优美语句】,  只有同样经历过无边黑暗的人，才有资格说，我理解你。
134,【优美语句】,  走遍万水千山，得到最初的自己。愿世间温柔的灵魂，都能相遇。
135,【优美语句】,  曾经，我以为我们这一生很长很长，总会爱很多的人，后来才发现，不管时间如何张牙舞爪，光阴如何死去活来，最后你记忆里所能铭记的爱人其实只有两个，一个他爱你，一个你爱他。
136,【优美语句】,  就像起初的相遇一样，从一开始，就像两个遥远的星球，不在同一个轨道运行，即使碰巧交叉，那也不过是一个美丽的错误。
137,【优美语句】,  这个世界上最残忍的一句话，不是对不起，也不是我恨你，而是，我们再也回不去。
138,【优美语句】,  如此情深，却难以启齿。原来你若真爱一个人，内心酸涩，反而会说不出话来，甜言蜜语，多数说给不相干的人听。
139,【优美语句】,  这些年来，离我最近的是你，离我最远的也是你，后来我终于明白，所有的悲欢都是我一个人的灰烬。
140,【优美语句】,  没有谁说过一生只能爱一个人，亦没有谁说过，重新开始是对过去的背叛。
141,【优美语句】,  一个人彻悟的程度，恰等于他所受痛苦的深度。
142,【优美语句】,  一个人自以为刻骨铭心的回忆。别人也许早已经忘记了。
143,【优美语句】,  若我看倦了风景，走累了路。你是否，愿意变成酒色的石头，让我把余生靠一靠。
144,【优美语句】,  每个人一生之中总会藏着一个人，也许这个人永远都不会知道，尽管如此，这个人始终都无法被谁所替代。而那个人就像一个永远无法愈合的伤痕，无论在什么时候，只要被提起，或者轻轻的一碰，就会隐隐作痛。
145,【优美语句】,  当我跨过沉沦的一切，向着永恒开战的时候，你是我的军旗。
146,【优美语句】,  我把我整个灵魂都给你，连同它的怪癖，耍小脾气，忽明忽暗，一千八百种坏毛病。它真讨厌，只有一点好，爱你。
147,【优美语句】,  我从来都无法得知，人们是究竟为什么会爱上另一个人，我猜也许我们的心上都有一个缺口，它是个空洞，呼呼的往灵魂里灌着刺骨的寒风，所以我们急切的需要一个正好形状的心来填上它，就算你是太阳一样完美的正圆形，可是我心里的缺口，或许却恰恰是个歪歪扭扭的锯齿形，所以你填不了。
148,【优美语句】,"  公元前我们还太小，公元后我们又太老,没有谁见过,那一次真正美丽的微笑。"
149,【优美语句】,  世界小得像一条街的布景，我们相遇了，你点点头，省略了所有的往事，省略了问候。 也许欢乐只是一个过程，一切都已经结束。
150,【优美语句】,  你没有如期归来，而这正是离别的意义。
151,【优美语句】,  你应该是一场梦，我应该是一阵风。
152,【优美语句】,  你默默地转向一边，面向夜晚。夜的深处，是密密的灯盏。它们总在一起，我们总要再见。再见，为了再见。
153,【优美语句】,  我多么希望，有一个门口，早晨，阳光照在草上。我们站着，扶着自己的门窗，门很低，但太阳是明亮的。草在结它的种子，风在摇它的叶子，我们站着，不说话，就十分美好。
154,【优美语句】,  天还未黑，云怎敢灰;雨还未下，风怎敢吹;瓜还未熟，秧怎敢枯;花还未落，树怎敢死;你还未嫁，我怎敢老。
155,【优美语句】,  爱上一个人是没有理由的。爱上了之后，她的一切就成了理由。
156,【优美语句】,  偏执的人一旦陷入爱情，就成为自己的囚徒。
157,【优美语句】,  雪色的阳光，抬眼看着他微笑起来，山水温柔，一如初见。
158,【优美语句】,  不要因为也许会改变，就不肯说那句美丽的誓言;不要因为也许会分离，就不敢求一次倾心的相遇。
159,【优美语句】,  你是一树一树的花开，是燕在梁间呢喃。你是爱，是暖，是希望，你是人间的四月天。
160,【优美语句】,  只要我仍有一丝羁绊，我都会与你的愿望捆绑在一起，你的心愿将在我的生命中实现，而这份羁绊便是你的爱。
161,【优美语句】,  很抱歉啊，我白天都没什么机会和你说话，只能憋到晚上给你发句晚安。但你可别小看了这两个字，它可包含着我今天清晨见到的阳光，中午看到的白云，傍晚遇见的微风，包含着我这一天每句想对你说的话，晚安。
162,【优美语句】,  人有时候就想独自静静的待一会，悲伤也成享受。
163,【优美语句】,  我也不讲太多话，也不要听你讲爱我。你顶着风雨瞧瞧我，就是恩惠，就是爱我。
164,【优美语句】,  也许，等到一切都归迹于无声的时候，才能让你真真听到那句“我喜欢你”不管之前的喧嚣怎样爬过我们的伤口，但剩余的每一天，都会在每一个喜欢你的日子里，被你喜欢。
165,【优美语句】,  是谁来自山川湖海，却囿于昼夜、厨房与爱。
166,【优美语句】,  像每一滴酒回不到最初的葡萄。我回不到年少。
167,【优美语句】,  爱和喜欢的区别很简单，如果你爱花，你会给它浇水，喜欢则会摘下它。
168,【优美语句】,   放纵是青春的迷幻剂，自由却是人们的天性。
169,【优美语句】,  有的风景，一生能遇见一次，就已经是莫大的幸运了。
170,【优美语句】,  分明心里想要嘴上却不肯说出来，虽然我很喜欢他，但是我不想让他知道，因为我明白得不到的东西永远是最好的。
171,【优美语句】,  世间情动，不过盛夏白瓷梅子汤，碎冰碰壁当啷响。
172,【优美语句】,  可能我本来就是个没多大出息的人吧。也只想泡个热水澡，钻你怀里看场鬼片，喝两大杯芒果果漾，和你一起冬眠，然后一觉醒来就是春天。
173,【优美语句】,  自从遇见你，人生苦短，甜长。
174,【优美语句】,  不建议跟文学素养较高的男孩子谈恋爱，他们动三分感情就能写出十二分的意。
175,【优美语句】,  我今天才知道，喜鹊喝了太多可乐会变成乌鸦，欢迎光临说太多遍会变成谢谢惠顾，你的猫咪太爱你的话就会变成兔子，啊还有人类太害羞的时候想说的话就会变成单字藏在句首。
176,【优美语句】,  愿你对那个人怦然心动时，他刚好也对你手足无措。
177,【优美语句】,  你是我黄粱一梦的惊喜，也是我义无反顾的南墙。
178,【优美语句】,  希望你以后所有的泪水都是喜极而泣。
179,【优美语句】,  关山难越，谁悲失路之人;萍水相逢，尽是他乡之客。
180,【优美语句】,  土豆和马铃薯，番茄和西红柿，我爱的人和你。
181,【优美语句】,  希望你是一颗糖果都能收买的小姑娘，也是一座金山都换不回的女英雄。
182,【优美语句】,  我也想边走边爱，可你一个人便挡住了人山人海。
183,【优美语句】,  真正喜欢一个人是根本藏不住的，就像日出日落，海涨潮退，是那么的自然。哪怕你想要极力掩藏，可你的温柔眼神早已昭告天下，你，喜欢她。
184,【优美语句】,  人世间的感情不过两种，一种是相濡以沫却厌倦到老，一种是相忘江湖却怀念到哭。
185,【优美语句】,  春有百花秋有月，夏有凉风冬有雪，若无闲事挂心头，便是人间好时节。，饥来食，困则眠，热取凉，寒向火。平常心即是自自然然，一无造作，了无是非取舍，只管行住坐卧，应机接物。
186,【优美语句】,  我曾踏足山巅，也曾跌落低谷，二者都使我收益良多。
187,【优美语句】,  远方搁浅于来途之中，有人只剩轮廓。
188,【优美语句】, 见到你，我觉得多少适应了这个世界。
189,【优美语句】,  你什么时候攻克下我的领地的，我命令自己不准想你了，可是那颗心不听我的话，它早跑到你那里去了。
190,【优美语句】,  我不想好好写东西了，我想好好拥有你，我想每天昏沉沉醒来的时候能够对你撒娇，希望蹭到你的怀里，被你摸摸头。我希望我们之间所有的误会都消除，你不要再向别的人走过去，我会吃很多醋，但是会越来越不敢说出口。
191,【优美语句】,  世界末日来之前，我要忘记所有人的名字，忘记云是什么，海是什么，忘记苹果会从树上掉下的道理。之后就没法说了，因为没有名词、形容词，没有语言，我想告诉谁在那儿翻滚是什么感觉，我就带他去翻滚一次。
192,【优美语句】,  敲醒沉睡冰山的人是你，将冰山变得不幸的责任也都在于你。反正我一定要怪你。都怪你。
193,【优美语句】,  我知道如何伴你渡过难关，但很遗憾，我没法拿出我的人生来做慈善。我常常都觉得是因为他人对待我的方式造就我今天的无动于衷，但那是错的，其实是我天性冷漠。
194,【优美语句】,  没有办法，刮风下雨我都想来你身边，不讲道理。
195,【优美语句】,  我可以为了很多人慷慨赴死，毫不犹豫;可是也只能为了你一个人活下去，不管活得多么艰难。
196,【优美语句】,  我说今天的风很好，月亮很好，整个世界都很好，所以我就翻山越岭啦，因为翻山越岭也很好，不过只有到见到你的时候，这些很好才是真的很好。
197,【优美语句】,  你还会再爱一些人，但不会再次画出窗外的月亮了。
198,【优美语句】,  如果你觉得爱人这件事太困难，我可以手把手教会你。带你温柔，带你体贴，带你发一些无关痛痒的小脾气，带你若即若离又让人欲罢不能。如果你觉得爱我太困难，那我实在没有办法了。
199,【优美语句】,  我的豪迈烈骨都给你看了，我的媚惑风情也被你收了，你要拿什么还我，诗人的情诗我自是不信的，我要你这浪子的余生。
